tool,sample,nb_of_samples,recalls_wrt_truth_probes,ref,tool_and_ref
Pandora illumina no denovo,063_STEC,17,0.927069399111777,PRG,Pandora illumina no denovo / PRG
Pandora illumina with denovo,063_STEC,17,0.9324201401894162,PRG,Pandora illumina with denovo / PRG
Snippy,063_STEC,17,0.9963079886564288,LF82,Snippy / LF82 (NC_011993.1)
Snippy,063_STEC,17,0.9916528439188828,JJ1886,Snippy / JJ1886 (NC_022648.1)
Snippy,063_STEC,17,0.984322328642517,C4,Snippy / C4 (CP010121.1)
Snippy,063_STEC,17,0.9692867462143508,EcRV308Chr,Snippy / EcRV308Chr (NZ_LM995446.1)
Snippy,063_STEC,17,0.9910107549895659,NCTC_13441,Snippy / NCTC_13441 (NZ_LT632320.1)
Snippy,063_STEC,17,0.964578094066028,MRSN346595,Snippy / MRSN346595 (NZ_CP018109.1)
Snippy,063_STEC,17,0.9869976991813366,CE10,Snippy / CE10 (NC_017646.1)
Snippy,063_STEC,17,0.9920273957943176,MRSN346647,Snippy / MRSN346647 (CP018206.1)
Snippy,063_STEC,17,0.9886029215046284,VR50,Snippy / VR50 (NZ_CP011134.1)
Snippy,063_STEC,17,0.9840547915886352,ST648,Snippy / ST648 (NZ_CP008697.1)
Snippy,063_STEC,17,0.983359195248542,S21,Snippy / S21 (CP010230.1)
Snippy,063_STEC,17,0.9884423992722992,SMS-3-5,Snippy / SMS-3-5 (NC_010498.1)
Snippy,063_STEC,17,0.9800417357804057,09-00049,Snippy / 09-00049 (NZ_CP015228.1)
Snippy,063_STEC,17,0.9753330836320828,ECONIH1,Snippy / ECONIH1 (NZ_CP009859.1)
Snippy,063_STEC,17,0.9916528439188828,EC958,Snippy / EC958 (NZ_HG941718.1)
Snippy,063_STEC,17,0.9848574027502808,UMN026,Snippy / UMN026 (CU928163.2)
Snippy,063_STEC,17,0.9931510514206218,S88,Snippy / S88 (NC_011742.1)
Snippy,063_STEC,17,0.9752795762213068,H7,Snippy / H7 (CP010171.1)
Snippy,063_STEC,17,0.982289047033014,W3110,Snippy / W3110 (NC_007779.1)
Snippy,063_STEC,17,0.9951843330301248,NGF1,Snippy / NGF1 (NZ_CP016007.1)
Snippy,063_STEC,17,0.9808443469420516,Y5,Snippy / Y5 (NZ_CP013483.1)
Snippy,063_STEC,17,0.9684841350527048,C1,Snippy / C1 (CP010116.1)
Snippy,063_STEC,17,0.9616886938841028,S1,Snippy / S1 (CP010226.1)
Snippy,063_STEC,17,0.9880678473968644,H6,Snippy / H6 (CP010170.1)
Pandora illumina no denovo,CFT073,17,0.9388527980889678,PRG,Pandora illumina no denovo / PRG
Pandora illumina with denovo,CFT073,17,0.9409794039677222,PRG,Pandora illumina with denovo / PRG
Snippy,CFT073,17,0.9971159728493606,LF82,Snippy / LF82 (NC_011993.1)
Snippy,CFT073,17,0.9935036560142162,JJ1886,Snippy / JJ1886 (NC_022648.1)
Snippy,CFT073,17,0.986337285518688,C4,Snippy / C4 (CP010121.1)
Snippy,CFT073,17,0.9725580446878548,EcRV308Chr,Snippy / EcRV308Chr (NZ_LM995446.1)
Snippy,CFT073,17,0.9933288664899352,NCTC_13441,Snippy / NCTC_13441 (NZ_LT632320.1)
Snippy,CFT073,17,0.9755003350132548,MRSN346595,Snippy / MRSN346595 (NZ_CP018109.1)
Snippy,CFT073,17,0.9926879715675708,CE10,Snippy / CE10 (NC_017646.1)
Snippy,CFT073,17,0.9905613656888164,MRSN346647,Snippy / MRSN346647 (CP018206.1)
Snippy,CFT073,17,0.9908235499752378,VR50,Snippy / VR50 (NZ_CP011134.1)
Snippy,CFT073,17,0.9908235499752378,ST648,Snippy / ST648 (NZ_CP008697.1)
Snippy,CFT073,17,0.9835697847175692,S21,Snippy / S21 (CP010230.1)
Snippy,CFT073,17,0.9900661287033532,SMS-3-5,Snippy / SMS-3-5 (NC_010498.1)
Snippy,CFT073,17,0.9826084423340228,09-00049,Snippy / 09-00049 (NZ_CP015228.1)
Snippy,CFT073,17,0.9837154426544702,ECONIH1,Snippy / ECONIH1 (NZ_CP009859.1)
Snippy,CFT073,17,0.993445392839456,EC958,Snippy / EC958 (NZ_HG941718.1)
Snippy,CFT073,17,0.9927753663297112,UMN026,Snippy / UMN026 (CU928163.2)
Snippy,CFT073,17,0.995834183004632,S88,Snippy / S88 (NC_011742.1)
Snippy,CFT073,17,0.9789378623241178,H7,Snippy / H7 (CP010171.1)
Snippy,CFT073,17,0.9825210475718822,W3110,Snippy / W3110 (NC_007779.1)
Snippy,CFT073,17,0.9971742360241208,NGF1,Snippy / NGF1 (NZ_CP016007.1)
Snippy,CFT073,17,0.9847641798001572,Y5,Snippy / Y5 (NZ_CP013483.1)
Snippy,CFT073,17,0.9582253036967984,C1,Snippy / C1 (CP010116.1)
Snippy,CFT073,17,0.9623328575174062,S1,Snippy / S1 (CP010226.1)
Snippy,CFT073,17,0.9857546537710841,H6,Snippy / H6 (CP010170.1)
Pandora illumina no denovo,Escherichia_coli_MINF_1A,17,0.9167072576717,PRG,Pandora illumina no denovo / PRG
Pandora illumina with denovo,Escherichia_coli_MINF_1A,17,0.9179028472744986,PRG,Pandora illumina with denovo / PRG
Snippy,Escherichia_coli_MINF_1A,17,0.9820661559580216,LF82,Snippy / LF82 (NC_011993.1)
Snippy,Escherichia_coli_MINF_1A,17,0.9776380463180268,JJ1886,Snippy / JJ1886 (NC_022648.1)
Snippy,Escherichia_coli_MINF_1A,17,0.9771066731612276,C4,Snippy / C4 (CP010121.1)
Snippy,Escherichia_coli_MINF_1A,17,0.9627153168312448,EcRV308Chr,Snippy / EcRV308Chr (NZ_LM995446.1)
Snippy,Escherichia_coli_MINF_1A,17,0.9761324890404286,NCTC_13441,Snippy / NCTC_13441 (NZ_LT632320.1)
Snippy,Escherichia_coli_MINF_1A,17,0.9558960279856528,MRSN346595,Snippy / MRSN346595 (NZ_CP018109.1)
Snippy,Escherichia_coli_MINF_1A,17,0.9861842979232166,CE10,Snippy / CE10 (NC_017646.1)
Snippy,Escherichia_coli_MINF_1A,17,0.986671389983616,MRSN346647,Snippy / MRSN346647 (CP018206.1)
Snippy,Escherichia_coli_MINF_1A,17,0.9902581587920116,VR50,Snippy / VR50 (NZ_CP011134.1)
Snippy,Escherichia_coli_MINF_1A,17,0.9870699198512156,ST648,Snippy / ST648 (NZ_CP008697.1)
Snippy,Escherichia_coli_MINF_1A,17,0.978257981667626,S21,Snippy / S21 (CP010230.1)
Snippy,Escherichia_coli_MINF_1A,17,0.9893725368640128,SMS-3-5,Snippy / SMS-3-5 (NC_010498.1)
